update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
1,128,10048,172.10119918218174,58,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9424928217936472,0.030642013008884972,0.04614144792913935,0.005990092381221162,0.029711570139903172,0.2517772177234292
2,263,20153,168.20754604846383,118,0.03439259264204237,0.13922526908619814,0.0,0.7929999828338623,0.05925925925925926,62.97037037037037,4.930540862436811,23.0,64.0,1.9404036434790335,0.08687843582742671,-0.22284482488406843,1.8806695716693709,0.6980858698509401,0.8392247930169106
3,453,30203,165.56676131635237,179,0.02703684191954763,0.14121094114471888,0.0,0.9279999732971191,0.03684210526315789,62.73157894736842,7.232714612427338,8.0,64.0,1.9333467900397172,0.09071655510734786,-0.19372539088953014,2.1692192893260187,0.8715508577716884,0.6877995990216732
4,590,40306,163.01953278541424,241,0.01888321176932676,0.11005990920359458,0.0,0.7480000257492065,0.029197080291970802,63.277372262773724,4.5316887927101925,28.0,64.0,1.91967216628761,0.08897518045742311,-0.03163346101222098,0.8673951381180569,0.3828673669988184,0.41603705286979675
5,773,50364,161.00072989820308,303,0.019999999980457494,0.11302763346532126,0.0,0.8740000128746033,0.03278688524590164,63.322404371584696,5.058120205308194,14.0,64.0,1.899846611119663,0.13929091058752957,-0.08953232393383212,1.3517411366587686,0.5673397486715721,0.6223416924476624
6,913,60464,159.6708908977058,366,0.016992856775011334,0.11620016321386992,0.0,0.9369999766349792,0.02142857142857143,63.121428571428574,6.256959390656658,7.0,64.0,1.873233013766827,0.09232419013829514,0.046795106521152915,0.8320959873385911,0.4441107419457766,0.3354796692728996
7,1093,70525,157.2909050532181,430,0.03495000037882063,0.15423439314170712,0.0,0.8740000128746033,0.05,62.47222222222222,7.176683353096838,14.0,64.0,1.8512851734804048,0.2939093756208883,-0.1939609432809596,2.9526698724047944,1.2638611258432935,0.94135832041502
8,1244,80614,153.50960663980777,496,0.05980794733723268,0.20066233853885582,0.0,0.9459999799728394,0.08609271523178808,61.41059602649007,9.974982961149157,6.0,64.0,1.8041455539866331,0.31762999762911215,-0.13293668615424706,3.3413071516921655,1.5196755226143572,0.7409526705741882
9,1419,90680,149.3244057376167,563,0.03904000009809221,0.16481232188039927,0.0,0.9639999866485596,0.05714285714285714,62.354285714285716,8.340618094846546,4.0,64.0,1.7538346663967128,0.3976595399395363,0.051000713723062724,2.3362264361459384,1.2015754977111999,0.6249943934381008
10,1573,100766,149.40131087922623,631,0.06216233697804538,0.1938272896537366,0.0,0.8560000061988831,0.09740259740259741,61.68181818181818,8.458227797442893,16.0,64.0,1.762463292975334,0.3845927647695214,-0.24634684181613167,4.098369080528075,1.785212867580991,1.0538277253508568
11,1745,110836,146.6798294962817,700,0.0503081398647885,0.18137252461382333,0.0,0.9459999799728394,0.0755813953488372,61.97093023255814,8.62084232488226,6.0,64.0,1.7729024986524686,0.3553237902845858,-0.05813308369401609,3.2970772776245894,1.57267649403395,0.8420274332165718
12,1906,120916,146.20971768811194,769,0.061745341520131745,0.20292703673728785,0.0,0.9100000262260437,0.08695652173913043,61.2360248447205,9.715528665060836,10.0,64.0,1.7525983456581358,0.40397156887347735,-0.1752710949648024,4.161166425500922,1.887786162845672,0.9043446034193039
13,2069,131001,146.5725199655352,837,0.056901839796019475,0.19069775518723772,0.0,0.9010000228881836,0.08588957055214724,61.7239263803681,8.869392011005425,11.0,64.0,1.7260133830284683,0.32403653094717694,-0.10643705907483236,3.644473878627788,1.6985396589923154,1.19674988463521
14,2236,141077,144.8708043831643,907,0.08376646666469688,0.22680501281952406,0.0,0.8920000195503235,0.12574850299401197,60.616766467065865,10.60094704104399,12.0,64.0,1.7243897035605569,0.505074048808947,-0.3516045111904764,5.56743914668743,2.414871367257282,1.0631673410534859
15,2399,151153,143.99284931967105,977,0.09305521498428532,0.2459926252618932,0.0,0.9100000262260437,0.12883435582822086,59.73006134969325,12.1438521645732,10.0,64.0,1.6961540527502759,0.4906026856584083,-0.269032366531108,6.157668768574675,2.792840646438629,1.2243394404649734
16,2571,161222,143.83176803622496,1047,0.10511046474756197,0.2643540706378757,0.0,0.9459999799728394,0.14534883720930233,59.16860465116279,14.07085691534355,6.0,64.0,1.6540414176734062,0.6277548625838829,-0.2355239628211562,5.986274918421625,2.7410735311118906,1.1719695404171944
17,2736,171296,143.29175262614305,1117,0.09429090944203464,0.23791653857914777,0.0,0.9459999799728394,0.14545454545454545,60.375757575757575,11.45126776898471,6.0,64.0,1.6454940620386012,0.5953883305887204,-0.25547405300302856,5.477669401531043,2.466905664682909,1.2791186645627022
18,2910,181362,144.15380718549497,1187,0.10941379234708588,0.2461949054987193,0.0,0.8740000128746033,0.1724137931034483,59.96551724137931,10.817130173582616,14.0,64.0,1.6224729655254628,0.7371164814463766,-0.42388490926065014,7.012977418476987,3.066379594869176,1.6315717250108719
19,3074,191435,143.5620726858029,1257,0.11009146291308286,0.25126486798465436,0.0,0.9279999732971191,0.17073170731707318,59.8109756097561,11.742444442585624,8.0,64.0,1.6375031796465513,0.8093292750325729,-0.26279659859875304,6.346430725443272,2.8940437201010747,1.2736632898449898
20,3247,201501,142.61386245863395,1328,0.12176300680017196,0.26305652803613805,0.0,0.9279999732971191,0.18497109826589594,59.1849710982659,12.245107770269849,8.0,64.0,1.585858537074043,0.9880148295306458,-0.275246784691276,7.4307252431165125,3.42425725077768,1.7070810794830322
21,3417,211573,143.75450508758385,1398,0.13582941188531764,0.284032103621061,0.0,0.9729999899864197,0.19411764705882353,58.05294117647059,14.042901394824897,3.0,64.0,1.5993802903473047,0.9456918741901116,-0.20836251415904075,8.046947105119717,3.7991172057281326,1.4821516424417496
22,3593,221638,145.30933291497024,1467,0.09838068146597255,0.24278192815038993,0.0,0.9279999732971191,0.14772727272727273,60.02840909090909,11.372029570833757,8.0,64.0,1.6248819264024865,1.0066022090750788,-0.06920161076552585,6.5540966873123345,3.1915977542458394,1.077413149178028
23,3768,231702,143.54463197514025,1537,0.19452571392059326,0.3199513496692905,0.0,0.8920000195503235,0.28,55.57714285714286,15.651327387144894,12.0,64.0,1.6421874465927222,1.0668289384231657,-0.7238242711711953,11.767803714127947,5.143655749686382,2.0755879133939743
