update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
1,128,10048,169.05649606431004,59,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9425623120775648,-0.009551728690401978,-0.015252960731656058,0.007646669725593299,-0.03085525115584112,0.2498823245987296
2,256,20160,171.59128445877906,118,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9410211314694792,-0.0012572728676015594,-0.010163572053471985,0.0026057773195804967,-0.028270895156679274,0.1296871230006218
3,448,30208,173.2231946569264,176,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9400761570710285,-0.009776831028442073,-0.019398564669691445,0.0009905792626544035,-0.03830403279347025,0.07703325198963284
4,576,40320,173.8660024497704,234,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9399916071303283,-0.010176575168241216,-0.011335343598867566,0.0005517172681070233,-0.030459397955785825,0.05348587967455387
5,768,50368,173.21616335075927,292,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.941080178994282,-0.003023101516348083,-0.0015364969334606628,0.00023594381990918757,-0.020829327926514256,0.03336369711905718
6,896,60480,174.32096205234055,350,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9422210570943506,0.002006706392047461,0.0005874955626340229,0.00011081118742667162,-0.018779310055925875,0.024235013755969703
7,1088,70528,172.3880997976069,408,0.002677083325882753,0.03699802765743625,0.0,0.5139999985694885,0.005208333333333333,63.947916666666664,0.7198059875565237,54.0,64.0,1.9429986194565085,0.02202193983160382,-0.03188683113608688,0.2321614613876582,0.06476390788889234,0.25709648057818413
8,1217,80640,173.2824543090771,467,0.004682170328243758,0.05297271023634566,0.0,0.6039999723434448,0.007751937984496124,63.84496124031008,1.754063333175932,44.0,64.0,1.9336746245434013,0.0194954439071416,-0.02126488779858731,0.25807063307704714,0.0884336972538429,0.2629650793969631
9,1408,90689,170.60581719398468,526,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9286955224155655,-0.01048649228553007,-0.03627636990524663,0.0020053000345583065,-0.054560673937938474,0.10149367526173592
10,1536,100801,173.49355184129988,584,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9279262106600394,-0.013442704463078728,-0.022687653138964838,0.0006289321906933161,-0.04165245121038413,0.06505931681022048
11,1728,110849,169.53765235622802,643,0.003005208447575569,0.04153280706087052,0.0,0.5770000219345093,0.005208333333333333,63.911458333333336,1.2236701788460895,47.0,64.0,1.9266952705528042,0.0020549604326385927,-0.027320489605250596,0.09238862155951681,-0.0003931397085736512,0.07801166968420148
12,1856,120961,172.34935527313385,702,0.003312499960884452,0.0373299787146893,0.0,0.42399999499320984,0.0078125,64.0,0.0,64.0,64.0,1.9214220060760603,0.01988323454380303,-0.036426958273477215,0.16372145890322964,0.02621955000147035,0.1941690412349999
13,2048,131070,171.8087780938165,761,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9147739086817157,-0.011263493951515081,-0.03161354521687461,0.002516881095878837,-0.04950284339964407,0.13312727073207498
